date,value
1879-12-31T23:40:28Z,-0.3
1880-01-31T23:40:28Z,-0.21
1880-02-29T23:40:28Z,-0.18
1880-03-31T23:40:28Z,-0.27
1880-04-30T23:40:28Z,-0.14
1880-05-31T23:40:28Z,-0.29
1880-06-30T23:40:28Z,-0.24
1880-07-31T23:40:28Z,-0.08
1880-08-31T23:40:28Z,-0.17
1880-09-30T23:40:28Z,-0.16
1880-10-31T23:40:28Z,-0.19
1880-11-30T23:40:28Z,-0.22
1880-12-31T23:40:28Z,-0.1
1881-01-31T23:40:28Z,-0.14
1881-02-28T23:40:28Z,0.01
1881-03-31T23:40:28Z,-0.03
1881-04-30T23:40:28Z,-0.04
1881-05-31T23:40:28Z,-0.28
1881-06-30T23:40:28Z,-0.07
1881-07-31T23:40:28Z,-0.03
1881-08-31T23:40:28Z,-0.09
1881-09-30T23:40:28Z,-0.2
1881-10-31T23:40:28Z,-0.26
1881-11-30T23:40:28Z,-0.16
1881-12-31T23:40:28Z,0.09
1882-01-31T23:40:28Z,0.08
1882-02-28T23:40:28Z,0.01
1882-03-31T23:40:28Z,-0.2
1882-04-30T23:40:28Z,-0.18
1882-05-31T23:40:28Z,-0.25
1882-06-30T23:40:28Z,-0.11
1882-07-31T23:40:28Z,0.03
1882-08-31T23:40:28Z,-0.01
1882-09-30T23:40:28Z,-0.23
1882-10-31T23:40:28Z,-0.21
1882-11-30T23:40:28Z,-0.25
1882-12-31T23:40:28Z,-0.34
1883-01-31T23:40:28Z,-0.42
1883-02-28T23:40:28Z,-0.18
1883-03-31T23:40:28Z,-0.25
1883-04-30T23:40:28Z,-0.26
1883-05-31T23:40:28Z,-0.13
1883-06-30T23:40:28Z,-0.09
1883-07-31T23:40:28Z,-0.14
1883-08-31T23:40:28Z,-0.19
1883-09-30T23:40:28Z,-0.12
1883-10-31T23:40:28Z,-0.21
1883-11-30T23:40:28Z,-0.19
1883-12-31T23:40:28Z,-0.18
1884-01-31T23:40:28Z,-0.13
1884-02-29T23:40:28Z,-0.36
1884-03-31T23:40:28Z,-0.36
1884-04-30T23:40:28Z,-0.32
1884-05-31T23:40:28Z,-0.38
1884-06-30T23:40:28Z,-0.35
1884-07-31T23:40:28Z,-0.27
1884-08-31T23:40:28Z,-0.24
1884-09-30T23:40:28Z,-0.22
1884-10-31T23:40:28Z,-0.3
1884-11-30T23:40:28Z,-0.3
1884-12-31T23:40:28Z,-0.66
1885-01-31T23:40:28Z,-0.3
1885-02-28T23:40:28Z,-0.24
1885-03-31T23:40:28Z,-0.45
1885-04-30T23:40:28Z,-0.42
1885-05-31T23:40:28Z,-0.5
1885-06-30T23:40:28Z,-0.29
1885-07-31T23:40:28Z,-0.27
1885-08-31T23:40:28Z,-0.19
1885-09-30T23:40:28Z,-0.2
1885-10-31T23:40:28Z,-0.22
1885-11-30T23:40:28Z,-0.07
1885-12-31T23:40:28Z,-0.43
1886-01-31T23:40:28Z,-0.46
1886-02-28T23:40:28Z,-0.41
1886-03-31T23:40:28Z,-0.29
1886-04-30T23:40:28Z,-0.27
1886-05-31T23:40:28Z,-0.39
1886-06-30T23:40:28Z,-0.16
1886-07-31T23:40:28Z,-0.31
1886-08-31T23:40:28Z,-0.19
1886-09-30T23:40:28Z,-0.25
1886-10-31T23:40:28Z,-0.26
1886-11-30T23:40:28Z,-0.25
1886-12-31T23:40:28Z,-0.66
1887-01-31T23:40:28Z,-0.48
1887-02-28T23:40:28Z,-0.32
1887-03-31T23:40:28Z,-0.37
1887-04-30T23:40:28Z,-0.33
1887-05-31T23:40:28Z,-0.21
1887-06-30T23:40:28Z,-0.19
1887-07-31T23:40:28Z,-0.28
1887-08-31T23:40:28Z,-0.19
1887-09-30T23:40:28Z,-0.32
1887-10-31T23:40:28Z,-0.25
1887-11-30T23:40:28Z,-0.38
1887-12-31T23:40:28Z,-0.43
1888-01-31T23:40:28Z,-0.43
1888-02-29T23:40:28Z,-0.47
1888-03-31T23:40:28Z,-0.28
1888-04-30T23:40:28Z,-0.22
1888-05-31T23:40:28Z,-0.2
1888-06-30T23:40:28Z,-0.1
1888-07-31T23:40:28Z,-0.11
1888-08-31T23:40:28Z,-0.07
1888-09-30T23:40:28Z,0.01
1888-10-31T23:40:28Z,0
1888-11-30T23:40:28Z,-0.12
1888-12-31T23:40:28Z,-0.21
1889-01-31T23:40:28Z,0.14
1889-02-28T23:40:28Z,0.04
1889-03-31T23:40:28Z,0.04
1889-04-30T23:40:28Z,-0.03
1889-05-31T23:40:28Z,-0.12
1889-06-30T23:40:28Z,-0.05
1889-07-31T23:40:28Z,-0.18
1889-08-31T23:40:28Z,-0.18
1889-09-30T23:40:28Z,-0.22
1889-10-31T23:40:28Z,-0.32
1889-11-30T23:40:28Z,-0.31
1889-12-31T23:40:28Z,-0.48
1890-01-31T23:40:28Z,-0.48
1890-02-28T23:40:28Z,-0.41
1890-03-31T23:40:28Z,-0.38
1890-04-30T23:40:28Z,-0.48
1890-05-31T23:40:28Z,-0.27
1890-06-30T23:40:28Z,-0.3
1890-07-31T23:40:28Z,-0.36
1890-08-31T23:40:28Z,-0.36
1890-09-30T23:40:28Z,-0.23
1890-10-31T23:40:28Z,-0.37
1890-11-30T23:40:28Z,-0.3
1890-12-31T23:40:28Z,-0.46
1891-01-31T23:40:28Z,-0.49
1891-02-28T23:40:28Z,-0.15
1891-03-31T23:40:28Z,-0.25
1891-04-30T23:40:28Z,-0.17
1891-05-31T23:40:28Z,-0.22
1891-06-30T23:40:28Z,-0.22
1891-07-31T23:40:28Z,-0.21
1891-08-31T23:40:28Z,-0.13
1891-09-30T23:40:28Z,-0.24
1891-10-31T23:40:28Z,-0.37
1891-11-30T23:40:28Z,-0.03
1891-12-31T23:40:28Z,-0.26
1892-01-31T23:40:28Z,-0.15
1892-02-29T23:40:28Z,-0.36
1892-03-31T23:40:28Z,-0.35
1892-04-30T23:40:28Z,-0.25
1892-05-31T23:40:28Z,-0.2
1892-06-30T23:40:28Z,-0.28
1892-07-31T23:40:28Z,-0.2
1892-08-31T23:40:28Z,-0.25
1892-09-30T23:40:28Z,-0.17
1892-10-31T23:40:28Z,-0.49
1892-11-30T23:40:28Z,-0.29
1892-12-31T23:40:28Z,-0.69
1893-01-31T23:40:28Z,-0.51
1893-02-28T23:40:28Z,-0.24
1893-03-31T23:40:28Z,-0.32
1893-04-30T23:40:28Z,-0.35
1893-05-31T23:40:28Z,-0.24
1893-06-30T23:40:28Z,-0.14
1893-07-31T23:40:28Z,-0.24
1893-08-31T23:40:28Z,-0.18
1893-09-30T23:40:28Z,-0.16
1893-10-31T23:40:28Z,-0.17
1893-11-30T23:40:28Z,-0.38
1893-12-31T23:40:28Z,-0.55
1894-01-31T23:40:28Z,-0.31
1894-02-28T23:40:28Z,-0.2
1894-03-31T23:40:28Z,-0.41
1894-04-30T23:40:28Z,-0.3
1894-05-31T23:40:28Z,-0.43
1894-06-30T23:40:28Z,-0.32
1894-07-31T23:40:28Z,-0.29
1894-08-31T23:40:28Z,-0.23
1894-09-30T23:40:28Z,-0.17
1894-10-31T23:40:28Z,-0.25
1894-11-30T23:40:28Z,-0.22
1894-12-31T23:40:28Z,-0.44
1895-01-31T23:40:28Z,-0.42
1895-02-28T23:40:28Z,-0.3
1895-03-31T23:40:28Z,-0.23
1895-04-30T23:40:28Z,-0.23
1895-05-31T23:40:28Z,-0.25
1895-06-30T23:40:28Z,-0.16
1895-07-31T23:40:28Z,-0.16
1895-08-31T23:40:28Z,-0.02
1895-09-30T23:40:28Z,-0.11
1895-10-31T23:40:28Z,-0.15
1895-11-30T23:40:28Z,-0.12
1895-12-31T23:40:28Z,-0.23
1896-01-31T23:40:28Z,-0.15
1896-02-29T23:40:28Z,-0.29
1896-03-31T23:40:28Z,-0.33
1896-04-30T23:40:28Z,-0.19
1896-05-31T23:40:28Z,-0.13
1896-06-30T23:40:28Z,-0.06
1896-07-31T23:40:28Z,-0.09
1896-08-31T23:40:28Z,-0.05
1896-09-30T23:40:28Z,0.04
1896-10-31T23:40:28Z,-0.16
1896-11-30T23:40:28Z,-0.12
1896-12-31T23:40:28Z,-0.22
1897-01-31T23:40:28Z,-0.19
1897-02-28T23:40:28Z,-0.12
1897-03-31T23:40:28Z,-0.01
1897-04-30T23:40:28Z,0
1897-05-31T23:40:28Z,-0.12
1897-06-30T23:40:28Z,-0.04
1897-07-31T23:40:28Z,-0.03
1897-08-31T23:40:28Z,-0.04
1897-09-30T23:40:28Z,-0.1
1897-10-31T23:40:28Z,-0.18
1897-11-30T23:40:28Z,-0.26
1897-12-31T23:40:28Z,-0.06
1898-01-31T23:40:28Z,-0.34
1898-02-28T23:40:28Z,-0.55
1898-03-31T23:40:28Z,-0.33
1898-04-30T23:40:28Z,-0.35
1898-05-31T23:40:28Z,-0.2
1898-06-30T23:40:28Z,-0.22
1898-07-31T23:40:28Z,-0.22
1898-08-31T23:40:28Z,-0.19
1898-09-30T23:40:28Z,-0.32
1898-10-31T23:40:28Z,-0.35
1898-11-30T23:40:28Z,-0.22
1898-12-31T23:40:28Z,-0.18
1899-01-31T23:40:28Z,-0.39
1899-02-28T23:40:28Z,-0.35
1899-03-31T23:40:28Z,-0.21
1899-04-30T23:40:28Z,-0.2
1899-05-31T23:40:28Z,-0.26
1899-06-30T23:40:28Z,-0.13
1899-07-31T23:40:28Z,-0.04
1899-08-31T23:40:28Z,0
1899-09-30T23:40:28Z,0
1899-10-31T23:40:28Z,0.12
1899-11-30T23:40:28Z,-0.27
1899-12-31T23:40:28Z,-0.4
1900-01-31T23:40:28Z,-0.08
1900-02-28T23:40:28Z,0.02
1900-03-31T23:40:28Z,-0.14
1900-04-30T23:40:28Z,-0.06
1900-05-31T23:40:28Z,-0.15
1900-06-30T23:40:28Z,-0.09
1900-07-31T23:40:28Z,-0.04
1900-08-31T23:40:28Z,0.01
1900-09-30T23:40:28Z,0.08
1900-10-31T23:40:28Z,-0.13
1900-11-30T23:40:28Z,-0.14
1900-12-31T23:40:28Z,-0.3
1901-01-31T23:40:28Z,-0.05
1901-02-28T23:40:28Z,0.05
1901-03-31T23:40:28Z,-0.06
1901-04-30T23:40:28Z,-0.18
1901-05-31T23:40:28Z,-0.1
1901-06-30T23:40:28Z,-0.09
1901-07-31T23:40:28Z,-0.13
1901-08-31T23:40:28Z,-0.17
1901-09-30T23:40:28Z,-0.29
1901-10-31T23:40:28Z,-0.17
1901-11-30T23:40:28Z,-0.3
1901-12-31T23:40:28Z,-0.19
1902-01-31T23:40:28Z,-0.03
1902-02-28T23:40:28Z,-0.29
1902-03-31T23:40:28Z,-0.27
1902-04-30T23:40:28Z,-0.31
1902-05-31T23:40:28Z,-0.34
1902-06-30T23:40:28Z,-0.26
1902-07-31T23:40:28Z,-0.28
1902-08-31T23:40:28Z,-0.2
1902-09-30T23:40:28Z,-0.27
1902-10-31T23:40:28Z,-0.36
1902-11-30T23:40:28Z,-0.46
1902-12-31T23:40:28Z,-0.27
1903-01-31T23:40:28Z,-0.06
1903-02-28T23:40:28Z,-0.23
1903-03-31T23:40:28Z,-0.39
1903-04-30T23:40:28Z,-0.41
1903-05-31T23:40:28Z,-0.44
1903-06-30T23:40:28Z,-0.3
1903-07-31T23:40:28Z,-0.44
1903-08-31T23:40:28Z,-0.43
1903-09-30T23:40:28Z,-0.42
1903-10-31T23:40:28Z,-0.38
1903-11-30T23:40:28Z,-0.47
1903-12-31T23:40:28Z,-0.64
1904-01-31T23:40:28Z,-0.55
1904-02-29T23:40:28Z,-0.46
1904-03-31T23:40:28Z,-0.5
1904-04-30T23:40:28Z,-0.5
1904-05-31T23:40:28Z,-0.49
1904-06-30T23:40:28Z,-0.48
1904-07-31T23:40:28Z,-0.43
1904-08-31T23:40:28Z,-0.47
1904-09-30T23:40:28Z,-0.35
1904-10-31T23:40:28Z,-0.16
1904-11-30T23:40:28Z,-0.29
1904-12-31T23:40:28Z,-0.38
1905-01-31T23:40:28Z,-0.59
1905-02-28T23:40:28Z,-0.25
1905-03-31T23:40:28Z,-0.36
1905-04-30T23:40:28Z,-0.33
1905-05-31T23:40:28Z,-0.31
1905-06-30T23:40:28Z,-0.25
1905-07-31T23:40:28Z,-0.21
1905-08-31T23:40:28Z,-0.15
1905-09-30T23:40:28Z,-0.23
1905-10-31T23:40:28Z,-0.08
1905-11-30T23:40:28Z,-0.21
1905-12-31T23:40:28Z,-0.31
1906-01-31T23:40:28Z,-0.34
1906-02-28T23:40:28Z,-0.15
1906-03-31T23:40:28Z,-0.02
1906-04-30T23:40:28Z,-0.21
1906-05-31T23:40:28Z,-0.22
1906-06-30T23:40:28Z,-0.27
1906-07-31T23:40:28Z,-0.19
1906-08-31T23:40:28Z,-0.25
1906-09-30T23:40:28Z,-0.2
1906-10-31T23:40:28Z,-0.38
1906-11-30T23:40:28Z,-0.18
1906-12-31T23:40:28Z,-0.44
1907-01-31T23:40:28Z,-0.53
1907-02-28T23:40:28Z,-0.25
1907-03-31T23:40:28Z,-0.4
1907-04-30T23:40:28Z,-0.46
1907-05-31T23:40:28Z,-0.43
1907-06-30T23:40:28Z,-0.35
1907-07-31T23:40:28Z,-0.37
1907-08-31T23:40:28Z,-0.32
1907-09-30T23:40:28Z,-0.24
1907-10-31T23:40:28Z,-0.51
1907-11-30T23:40:28Z,-0.5
1907-12-31T23:40:28Z,-0.46
1908-01-31T23:40:28Z,-0.36
1908-02-29T23:40:28Z,-0.58
1908-03-31T23:40:28Z,-0.46
1908-04-30T23:40:28Z,-0.4
1908-05-31T23:40:28Z,-0.39
1908-06-30T23:40:28Z,-0.35
1908-07-31T23:40:28Z,-0.45
1908-08-31T23:40:28Z,-0.33
1908-09-30T23:40:28Z,-0.43
1908-10-31T23:40:28Z,-0.51
1908-11-30T23:40:28Z,-0.5
1908-12-31T23:40:28Z,-0.7
1909-01-31T23:40:28Z,-0.47
1909-02-28T23:40:28Z,-0.52
1909-03-31T23:40:28Z,-0.59
1909-04-30T23:40:28Z,-0.54
1909-05-31T23:40:28Z,-0.52
1909-06-30T23:40:28Z,-0.43
1909-07-31T23:40:28Z,-0.3
1909-08-31T23:40:28Z,-0.37
1909-09-30T23:40:28Z,-0.39
1909-10-31T23:40:28Z,-0.31
1909-11-30T23:40:28Z,-0.55
1909-12-31T23:40:28Z,-0.44
1910-01-31T23:40:28Z,-0.43
1910-02-28T23:40:28Z,-0.47
1910-03-31T23:40:28Z,-0.39
1910-04-30T23:40:28Z,-0.34
1910-05-31T23:40:28Z,-0.36
1910-06-30T23:40:28Z,-0.31
1910-07-31T23:40:28Z,-0.34
1910-08-31T23:40:28Z,-0.37
1910-09-30T23:40:28Z,-0.39
1910-10-31T23:40:28Z,-0.56
1910-11-30T23:40:28Z,-0.69
1910-12-31T23:40:28Z,-0.64
1911-01-31T23:40:28Z,-0.6
1911-02-28T23:40:28Z,-0.62
1911-03-31T23:40:28Z,-0.55
1911-04-30T23:40:28Z,-0.51
1911-05-31T23:40:28Z,-0.47
1911-06-30T23:40:28Z,-0.41
1911-07-31T23:40:28Z,-0.43
1911-08-31T23:40:28Z,-0.38
1911-09-30T23:40:28Z,-0.26
1911-10-31T23:40:28Z,-0.2
1911-11-30T23:40:28Z,-0.25
1911-12-31T23:40:28Z,-0.27
1912-01-31T23:40:28Z,-0.13
1912-02-29T23:40:28Z,-0.37
1912-03-31T23:40:28Z,-0.2
1912-04-30T23:40:28Z,-0.2
1912-05-31T23:40:28Z,-0.26
1912-06-30T23:40:28Z,-0.41
1912-07-31T23:40:28Z,-0.51
1912-08-31T23:40:28Z,-0.47
1912-09-30T23:40:28Z,-0.55
1912-10-31T23:40:28Z,-0.38
1912-11-30T23:40:28Z,-0.42
1912-12-31T23:40:28Z,-0.41
1913-01-31T23:40:28Z,-0.44
1913-02-28T23:40:28Z,-0.44
1913-03-31T23:40:28Z,-0.36
1913-04-30T23:40:28Z,-0.45
1913-05-31T23:40:28Z,-0.46
1913-06-30T23:40:28Z,-0.34
1913-07-31T23:40:28Z,-0.32
1913-08-31T23:40:28Z,-0.32
1913-09-30T23:40:28Z,-0.34
1913-10-31T23:40:28Z,-0.18
1913-11-30T23:40:28Z,-0.04
1913-12-31T23:40:28Z,0.02
1914-01-31T23:40:28Z,-0.13
1914-02-28T23:40:28Z,-0.23
1914-03-31T23:40:28Z,-0.28
1914-04-30T23:40:28Z,-0.19
1914-05-31T23:40:28Z,-0.22
1914-06-30T23:40:28Z,-0.24
1914-07-31T23:40:28Z,-0.15
1914-08-31T23:40:28Z,-0.13
1914-09-30T23:40:28Z,-0.05
1914-10-31T23:40:28Z,-0.2
1914-11-30T23:40:28Z,-0.1
1914-12-31T23:40:28Z,-0.2
1915-01-31T23:40:28Z,-0.01
1915-02-28T23:40:28Z,-0.08
1915-03-31T23:40:28Z,0.07
1915-04-30T23:40:28Z,-0.01
1915-05-31T23:40:28Z,-0.16
1915-06-30T23:40:28Z,-0.03
1915-07-31T23:40:28Z,-0.15
1915-08-31T23:40:28Z,-0.12
1915-09-30T23:40:28Z,-0.22
1915-10-31T23:40:28Z,-0.12
1915-11-30T23:40:28Z,-0.25
1915-12-31T23:40:28Z,-0.2
1916-01-31T23:40:28Z,-0.23
1916-02-29T23:40:28Z,-0.31
1916-03-31T23:40:28Z,-0.25
1916-04-30T23:40:28Z,-0.27
1916-05-31T22:40:28Z,-0.44
1916-06-30T22:40:28Z,-0.34
1916-07-31T22:40:28Z,-0.27
1916-08-31T22:40:28Z,-0.29
1916-09-30T23:40:28Z,-0.28
1916-10-31T23:40:28Z,-0.42
1916-11-30T23:40:28Z,-0.78
1916-12-31T23:40:28Z,-0.46
1917-01-31T23:40:28Z,-0.53
1917-02-28T23:40:28Z,-0.47
1917-03-31T23:40:28Z,-0.38
1917-04-30T22:40:28Z,-0.48
1917-05-31T22:40:28Z,-0.4
1917-06-30T22:40:28Z,-0.23
1917-07-31T22:40:28Z,-0.26
1917-08-31T22:40:28Z,-0.18
1917-09-30T23:40:28Z,-0.35
1917-10-31T23:40:28Z,-0.29
1917-11-30T23:40:28Z,-0.71
1917-12-31T23:40:28Z,-0.44
1918-01-31T23:40:28Z,-0.33
1918-02-28T23:40:28Z,-0.21
1918-03-31T23:40:28Z,-0.4
1918-04-30T22:40:28Z,-0.37
1918-05-31T22:40:28Z,-0.28
1918-06-30T22:40:28Z,-0.22
1918-07-31T22:40:28Z,-0.26
1918-08-31T22:40:28Z,-0.14
1918-09-30T23:40:28Z,-0.03
1918-10-31T23:40:28Z,-0.16
1918-11-30T23:40:28Z,-0.3
1918-12-31T23:40:28Z,-0.21
1919-01-31T23:40:28Z,-0.19
1919-02-28T23:40:28Z,-0.25
1919-03-31T23:40:28Z,-0.17
1919-04-30T22:40:28Z,-0.2
1919-05-31T22:40:28Z,-0.28
1919-06-30T22:40:28Z,-0.21
1919-07-31T22:40:28Z,-0.19
1919-08-31T22:40:28Z,-0.17
1919-09-30T23:40:28Z,-0.16
1919-10-31T23:40:28Z,-0.29
1919-11-30T23:40:28Z,-0.35
1919-12-31T23:40:28Z,-0.15
1920-01-31T23:40:28Z,-0.22
1920-02-29T23:40:28Z,-0.08
1920-03-31T23:40:28Z,-0.26
1920-04-30T22:40:28Z,-0.26
1920-05-31T22:40:28Z,-0.33
1920-06-30T22:40:28Z,-0.32
1920-07-31T22:40:28Z,-0.29
1920-08-31T22:40:28Z,-0.2
1920-09-30T23:40:28Z,-0.29
1920-10-31T23:40:28Z,-0.33
1920-11-30T23:40:28Z,-0.47
1920-12-31T23:40:28Z,-0.04
1921-01-31T23:40:28Z,-0.21
1921-02-28T23:40:28Z,-0.28
1921-03-31T23:40:28Z,-0.36
1921-04-30T22:40:28Z,-0.36
1921-05-31T22:40:28Z,-0.31
1921-06-30T22:40:28Z,-0.16
1921-07-31T22:40:28Z,-0.24
1921-08-31T22:40:28Z,-0.16
1921-09-30T23:40:28Z,-0.06
1921-10-31T23:40:28Z,-0.16
